Date,Visitor,G,Home,G,,Att.,LOG,Notes
2019-04-30,San Jose Sharks,4,Colorado Avalanche,2,,18106,2:22,
2019-04-30,Boston Bruins,1,Columbus Blue Jackets,2,,19337,2:37,
2019-05-01,New York Islanders,2,Carolina Hurricanes,5,,19066,2:32,
2019-05-01,St. Louis Blues,2,Dallas Stars,4,,18790,2:31,
2019-05-02,Boston Bruins,4,Columbus Blue Jackets,1,,19431,2:36,
2019-05-02,San Jose Sharks,0,Colorado Avalanche,3,,18110,2:39,
2019-05-03,New York Islanders,2,Carolina Hurricanes,5,,19495,2:25,
2019-05-03,Dallas Stars,2,St. Louis Blues,1,,18542,2:35,
2019-05-04,Columbus Blue Jackets,3,Boston Bruins,4,,17565,2:36,
2019-05-04,Colorado Avalanche,1,San Jose Sharks,2,,17562,2:25,
2019-05-05,St. Louis Blues,4,Dallas Stars,1,,18876,2:30,
2019-05-06,San Jose Sharks,3,Colorado Avalanche,4,OT,18098,2:55,
2019-05-06,Boston Bruins,3,Columbus Blue Jackets,0,,19219,2:40,
2019-05-07,Dallas Stars,1,St. Louis Blues,2,2OT,18531,3:49,
2019-05-08,Colorado Avalanche,2,San Jose Sharks,3,,17562,2:23,
2019-05-09,Carolina Hurricanes,2,Boston Bruins,5,,17565,2:36,
2019-05-11,St. Louis Blues,3,San Jose Sharks,6,,17562,2:37,
2019-05-12,Carolina Hurricanes,2,Boston Bruins,6,,17565,2:25,
2019-05-13,St. Louis Blues,4,San Jose Sharks,2,,17562,2:23,
2019-05-14,Boston Bruins,2,Carolina Hurricanes,1,,18768,2:39,
2019-05-15,San Jose Sharks,5,St. Louis Blues,4,OT,18360,2:53,
2019-05-16,Boston Bruins,4,Carolina Hurricanes,0,,19041,2:33,
2019-05-17,San Jose Sharks,1,St. Louis Blues,2,,18496,2:30,
2019-05-19,St. Louis Blues,5,San Jose Sharks,0,,17562,2:31,
2019-05-21,San Jose Sharks,1,St. Louis Blues,5,,18684,2:26,
2019-05-27,St. Louis Blues,2,Boston Bruins,4,,17565,2:32,
2019-05-29,St. Louis Blues,3,Boston Bruins,2,OT,17565,2:51,
2019-06-01,Boston Bruins,7,St. Louis Blues,2,,18789,2:34,
2019-06-03,Boston Bruins,2,St. Louis Blues,4,,18805,2:34,
2019-06-06,St. Louis Blues,2,Boston Bruins,1,,17565,2:38,
2019-06-09,Boston Bruins,5,St. Louis Blues,1,,18890,2:37,
2019-06-12,St. Louis Blues,4,Boston Bruins,1,,17565,2:21,
