Team,Stanley Cup Odds,Pts. O/U,Final Pts.
Anaheim Ducks,+3000,94.5,80 (u)
Arizona Coyotes,+15000,81.5,86 (o)
Boston Bruins,+1200,102.5,107 (o)
Buffalo Sabres,+8000,80.5,76 (u)
Calgary Flames,+4000,93.5,107 (o)
Carolina Hurricanes,+8000,86.5,99 (o)
Chicago Blackhawks,+7500,85.5,84 (u)
Colorado Avalanche,+6000,89.5,90 (o)
Columbus Blue Jackets,+3300,97.5,98 (o)
Dallas Stars,+3000,94.5,93 (u)
Detroit Red Wings,+20000,75.5,74 (u)
Edmonton Oilers,+3700,91.5,79 (u)
Florida Panthers,+5000,94.5,86 (u)
Los Angeles Kings,+3000,93.5,71 (u)
Minnesota Wild,+4000,95.5,83 (u)
Montreal Canadiens,+10000,80.5,96 (o)
Nashville Predators,+1150,104.5,100 (u)
New Jersey Devils,+6000,90.5,72 (u)
New York Islanders,+20000,82.5,103 (o)
New York Rangers,+20000,75.5,78 (o)
Ottawa Senators,+30000,71.5,64 (u)
Philadelphia Flyers,+2800,97.5,82 (u)
Pittsburgh Penguins,+1150,102.5,100 (u)
San Jose Sharks,+1300,101.5,101 (u)
St. Louis Blues,+3000,97.5,99 (o)
Tampa Bay Lightning,+875,106.5,128 (o)
Toronto Maple Leafs,+1000,105.5,100 (u)
Vancouver Canucks,+20000,77.5,81 (o)
Vegas Golden Knights,+1400,97.5,93 (u)
Washington Capitals,+1400,97.5,104 (o)
Winnipeg Jets,+900,105.5,99 (u)
