Date,Visitor,G,Home,G,,Att.,LOG,Notes
2021-02-02,Carolina Hurricanes,4,Chicago Blackhawks,3,SO,,2:34,
2021-02-02,Minnesota Wild,1,Colorado Avalanche,2,,,2:29,
2021-02-02,Ottawa Senators,2,Edmonton Oilers,4,,,2:26,
2021-02-02,Anaheim Ducks,3,Los Angeles Kings,1,,,2:19,
2021-02-02,Vancouver Canucks,3,Montreal Canadiens,5,,,2:28,
2021-02-02,Arizona Coyotes,3,St. Louis Blues,4,,,2:30,
2021-02-02,Calgary Flames,2,Winnipeg Jets,3,,,2:17,
2021-02-03,Boston Bruins,4,Philadelphia Flyers,3,OT,,2:27,
2021-02-03,Detroit Red Wings,1,Tampa Bay Lightning,5,,,2:18,
2021-02-04,Dallas Stars,3,Columbus Blue Jackets,4,,,2:24,
2021-02-04,Carolina Hurricanes,4,Chicago Blackhawks,6,,,2:32,
2021-02-04,Nashville Predators,6,Florida Panthers,5,OT,3698,2:39,
2021-02-04,Ottawa Senators,3,Montreal Canadiens,2,,,2:26,
2021-02-04,Washington Capitals,2,New York Rangers,4,,,2:27,
2021-02-04,Arizona Coyotes,4,St. Louis Blues,3,,,2:22,
2021-02-04,Vancouver Canucks,3,Toronto Maple Leafs,7,,,2:25,
2021-02-04,Calgary Flames,1,Winnipeg Jets,4,,,2:17,
2021-02-05,San Jose Sharks,5,Anaheim Ducks,4,SO,,2:41,
2021-02-05,Nashville Predators,1,Florida Panthers,2,,,2:33,
2021-02-05,Boston Bruins,2,Philadelphia Flyers,1,,,2:30,
2021-02-05,Detroit Red Wings,1,Tampa Bay Lightning,3,,,2:21,
2021-02-05,Los Angeles Kings,2,Vegas Golden Knights,5,,,2:31,
2021-02-06,San Jose Sharks,1,Anaheim Ducks,2,SO,,2:36,
2021-02-06,Edmonton Oilers,4,Calgary Flames,6,,,2:33,
2021-02-06,Pittsburgh Penguins,3,New York Islanders,4,,,2:15,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-02-06,Montreal Canadiens,2,Ottawa Senators,1,,,2:28,
